scene,item,score
douban_movie,27010768,1.0
douban_movie,1293908,0.9678456591639871
douban_movie,1296141,0.9678456591639871
douban_movie,1292052,0.9646302250803859
douban_movie,1308162,0.9614147909967846
douban_movie,1291858,0.9614147909967846
douban_movie,1304920,0.9517684887459807
douban_movie,1291561,0.9485530546623794
douban_movie,1293310,0.9453376205787781
douban_movie,24751811,0.9421221864951769
douban_movie,1292719,0.9421221864951769
douban_movie,1958667,0.9356913183279743
douban_movie,1301811,0.9356913183279743
douban_movie,1292220,0.9356913183279743
douban_movie,26700818,0.932475884244373
douban_movie,5912992,0.932475884244373
douban_movie,1417728,0.9292604501607717
douban_movie,1297268,0.9260450160771704
douban_movie,1305487,0.9260450160771704
douban_movie,25938803,0.9228295819935691
douban_movie,1292994,0.9228295819935691
douban_movie,1292642,0.9228295819935691
douban_movie,1296736,0.9228295819935691
douban_movie,1296218,0.9228295819935691
douban_movie,1851906,0.9196141479099679
douban_movie,1293753,0.9163987138263665
douban_movie,1294194,0.9163987138263665
douban_movie,1309135,0.909967845659164
douban_movie,1793929,0.909967845659164
douban_movie,26694988,0.9067524115755627
douban_movie,1293145,0.9035369774919614
douban_movie,1292000,0.9003215434083601
douban_movie,1293181,0.9003215434083601
douban_movie,1299360,0.9003215434083601
douban_movie,1293863,0.8971061093247589
douban_movie,10450409,0.8938906752411575
douban_movie,1303388,0.8938906752411575
douban_movie,1300299,0.8938906752411575
douban_movie,1293776,0.8938906752411575
douban_movie,1308228,0.8938906752411575
douban_movie,1295409,0.8906752411575563
douban_movie,27203607,0.8906752411575563
douban_movie,3091208,0.8906752411575563
douban_movie,1292347,0.887459807073955
douban_movie,1306464,0.8842443729903537
douban_movie,1305791,0.8842443729903537
douban_movie,1297359,0.8842443729903537
douban_movie,1307315,0.8842443729903537
douban_movie,1297574,0.8842443729903537
douban_movie,1428580,0.8810289389067524
douban_movie,21937445,0.8810289389067524
douban_movie,1306607,0.8810289389067524
douban_movie,1300334,0.8810289389067524
douban_movie,10583098,0.8778135048231511
douban_movie,1302605,0.8778135048231511
douban_movie,1302675,0.8745980707395499
douban_movie,1295742,0.8745980707395499
douban_movie,1292646,0.8745980707395499
douban_movie,21937452,0.8713826366559485
douban_movie,24397586,0.8681672025723473
douban_movie,27622447,0.8681672025723473
douban_movie,10808442,0.8681672025723473
douban_movie,1307320,0.8681672025723473
douban_movie,4860078,0.8681672025723473
douban_movie,4144683,0.8681672025723473
douban_movie,1401196,0.864951768488746
douban_movie,2138467,0.864951768488746
douban_movie,1466022,0.864951768488746
douban_movie,1293929,0.864951768488746
douban_movie,5908478,0.8617363344051447
douban_movie,2133337,0.8617363344051447
douban_movie,1309099,0.8617363344051447
douban_movie,1291936,0.8617363344051447
douban_movie,1292718,0.8585209003215434
douban_movie,1857175,0.8585209003215434
douban_movie,1858233,0.8585209003215434
douban_movie,1291856,0.8553054662379421
douban_movie,1907966,0.8553054662379421
douban_movie,1300741,0.8553054662379421
douban_movie,1298506,0.8520900321543409
douban_movie,7051375,0.8520900321543409
douban_movie,1292260,0.8456591639871383
douban_movie,1297223,0.8456591639871383
douban_movie,1291879,0.8456591639871383
douban_movie,6985803,0.8456591639871383
douban_movie,1303037,0.8456591639871383
douban_movie,1293351,0.842443729903537
douban_movie,1302109,0.842443729903537
douban_movie,1400829,0.842443729903537
douban_movie,1361254,0.842443729903537
douban_movie,1292338,0.842443729903537
douban_movie,1308813,0.842443729903537
douban_movie,1431718,0.842443729903537
douban_movie,4824996,0.8392282958199357
douban_movie,1308304,0.8392282958199357
douban_movie,1292553,0.8392282958199357
douban_movie,1316510,0.8392282958199357
douban_movie,3103418,0.8392282958199357
douban_movie,1945780,0.8360128617363344
douban_movie,1298204,0.8360128617363344
douban_movie,5975206,0.8360128617363344
douban_movie,1300966,0.8360128617363344
douban_movie,1303536,0.8360128617363344
douban_movie,1295991,0.8360128617363344
douban_movie,1293861,0.8360128617363344
douban_movie,1293852,0.8360128617363344
douban_movie,1310159,0.8360128617363344
douban_movie,1305543,0.8360128617363344
douban_movie,1291852,0.8327974276527331
douban_movie,1294100,0.8327974276527331
douban_movie,1297737,0.8327974276527331
douban_movie,1291840,0.8327974276527331
douban_movie,1293889,0.8295819935691319
douban_movie,1295148,0.8295819935691319
douban_movie,1421933,0.8263665594855305
douban_movie,1417598,0.8263665594855305
douban_movie,11797272,0.8263665594855305
douban_movie,25740192,0.8263665594855305
douban_movie,1914787,0.8263665594855305
douban_movie,1303913,0.8231511254019293
douban_movie,1306019,0.8231511254019293
douban_movie,1295285,0.8231511254019293
douban_movie,2238297,0.8231511254019293
douban_movie,4202302,0.8231511254019293
douban_movie,1309172,0.8231511254019293
douban_movie,1794171,0.8231511254019293
