scene,user,item,score
scene_0,user_3645,item_4821,0.36067376022224085
scene_0,user_3645,item_7806,0.36067376022224085
scene_0,user_3645,item_2568,0.2944888920518062
scene_0,user_3645,item_7542,0.2944888920518062
scene_0,user_7213,item_4821,0.2944888920518062
scene_0,user_7213,item_5997,0.2944888920518062
scene_0,user_2629,item_5997,0.36067376022224085
scene_0,user_2629,item_2568,0.2944888920518062
scene_0,user_2629,item_7542,0.2944888920518062
scene_0,user_5729,item_2004,0.5100697232983947
scene_0,user_9809,item_6270,0.25694917118487537
scene_0,user_9809,item_8034,0.25694917118487537
scene_0,user_9809,item_8127,0.25694917118487537
scene_0,user_9809,item_840,0.25694917118487537
scene_0,user_9809,item_969,0.25694917118487537
scene_0,user_548,item_2004,0.5100697232983947
scene_0,user_2238,item_2274,0.36067376022224085
scene_0,user_8614,item_4863,0.6436363296498353
scene_0,user_1675,item_8655,0.39464380868665966
scene_0,user_1675,item_867,0.39464380868665966
scene_0,user_3462,item_8655,0.39464380868665966
scene_0,user_3462,item_867,0.39464380868665966
scene_0,user_6381,item_8655,0.39464380868665966
scene_0,user_6381,item_867,0.39464380868665966
scene_0,user_5031,item_8166,0.2790553132756236
scene_0,user_5031,item_867,0.2790553132756236
scene_0,user_4286,item_7731,0.31066746727980593
scene_0,user_4286,item_8655,0.2790553132756236
scene_0,user_7039,item_5412,0.6436363296498353
scene_0,user_7783,item_4245,0.1894615908449756
scene_0,user_7783,item_4608,0.1894615908449756
scene_0,user_7783,item_4656,0.1894615908449756
scene_0,user_7783,item_5337,0.1894615908449756
scene_0,user_4985,item_1848,0.2679391513217467
scene_0,user_4985,item_4245,0.2679391513217467
scene_0,user_4985,item_4608,0.2679391513217467
scene_0,user_4985,item_4656,0.2679391513217467
scene_0,user_4985,item_5337,0.2679391513217467
scene_0,user_6365,item_1848,0.2679391513217467
scene_0,user_6365,item_4245,0.2679391513217467
scene_0,user_6365,item_4608,0.2679391513217467
scene_0,user_6365,item_4656,0.2679391513217467
scene_0,user_6365,item_5337,0.2679391513217467
scene_0,user_2875,item_1848,0.2679391513217467
scene_0,user_2875,item_4245,0.2679391513217467
scene_0,user_2875,item_4608,0.2679391513217467
scene_0,user_2875,item_4656,0.2679391513217467
scene_0,user_2875,item_5337,0.2679391513217467
scene_0,user_2162,item_3333,0.22755980665670933
scene_0,user_2162,item_3813,0.22755980665670933
scene_0,user_2162,item_7644,0.22755980665670933
scene_0,user_2162,item_1848,0.1894615908449756
scene_0,user_2162,item_4245,0.1894615908449756
scene_0,user_2162,item_4608,0.1894615908449756
scene_0,user_2162,item_4656,0.1894615908449756
scene_0,user_5439,item_1848,0.2679391513217467
scene_0,user_5439,item_4245,0.2679391513217467
scene_0,user_5439,item_4608,0.2679391513217467
scene_0,user_5439,item_4656,0.2679391513217467
scene_0,user_5439,item_5337,0.2679391513217467
scene_0,user_1019,item_5619,0.25694917118487537
scene_0,user_1019,item_7359,0.25694917118487537
scene_0,user_1019,item_753,0.25694917118487537
scene_0,user_1019,item_1848,0.1894615908449756
scene_0,user_1019,item_4245,0.1894615908449756
scene_0,user_1019,item_4656,0.1894615908449756
scene_0,user_1019,item_5337,0.1894615908449756
scene_0,user_7885,item_1848,0.2679391513217467
scene_0,user_7885,item_4245,0.2679391513217467
scene_0,user_7885,item_4608,0.2679391513217467
scene_0,user_7885,item_4656,0.2679391513217467
scene_0,user_7885,item_5337,0.2679391513217467
scene_0,user_3835,item_9402,0.2790553132756236
scene_0,user_3835,item_1848,0.1894615908449756
scene_0,user_3835,item_4245,0.1894615908449756
scene_0,user_3835,item_4608,0.1894615908449756
scene_0,user_3835,item_5337,0.1894615908449756
scene_0,user_5097,item_4236,0.2790553132756236
scene_0,user_5097,item_9207,0.2790553132756236
scene_0,user_5097,item_1848,0.1894615908449756
scene_0,user_5097,item_4608,0.1894615908449756
scene_0,user_5097,item_4656,0.1894615908449756
scene_0,user_5097,item_5337,0.1894615908449756
scene_0,user_9684,item_1848,0.2679391513217467
scene_0,user_9684,item_4245,0.2679391513217467
scene_0,user_9684,item_4608,0.2679391513217467
scene_0,user_9684,item_4656,0.2679391513217467
scene_0,user_9684,item_5337,0.2679391513217467
scene_0,user_202,item_1848,0.2679391513217467
scene_0,user_202,item_4245,0.2679391513217467
scene_0,user_202,item_4608,0.2679391513217467
scene_0,user_202,item_4656,0.2679391513217467
scene_0,user_202,item_5337,0.2679391513217467
scene_0,user_1273,item_1848,0.2679391513217467
scene_0,user_1273,item_4245,0.2679391513217467
scene_0,user_1273,item_4608,0.2679391513217467
scene_0,user_1273,item_4656,0.2679391513217467
scene_0,user_1273,item_5337,0.2679391513217467
scene_0,user_9783,item_3459,0.43935014561520125
scene_0,user_9783,item_8439,0.43935014561520125
scene_0,user_4845,item_8439,0.31066746727980593
scene_0,user_4845,item_5124,0.24044917348149392
scene_0,user_4845,item_615,0.19632592803453744
scene_0,user_4845,item_7206,0.19632592803453744
scene_0,user_440,item_3459,0.31066746727980593
scene_0,user_440,item_5049,0.21714724095162588
scene_0,user_440,item_7833,0.21714724095162588
scene_0,user_440,item_4158,0.17729997979489165
scene_0,user_440,item_4407,0.17729997979489165
scene_0,user_440,item_6288,0.17729997979489165
scene_0,user_440,item_6723,0.17729997979489165
scene_0,user_8214,item_3459,0.43935014561520125
scene_0,user_8214,item_8439,0.43935014561520125
scene_0,user_4230,item_9681,0.6436363296498353
scene_0,user_577,item_4044,0.4164701851078906
scene_0,user_577,item_8025,0.4164701851078906
scene_0,user_2341,item_8574,0.20979811974466375
scene_0,user_3611,item_4044,0.4164701851078906
scene_0,user_3611,item_8025,0.4164701851078906
scene_0,user_5403,item_5322,0.3633810027301768
scene_0,user_4504,item_5322,0.3633810027301768
scene_0,user_4524,item_5322,0.3633810027301768
scene_0,user_3534,item_5322,0.3633810027301768
scene_0,user_4764,item_5322,0.3633810027301768
scene_0,user_2018,item_2100,0.3633810027301768
scene_0,user_2018,item_5085,0.3633810027301768
scene_0,user_7129,item_315,0.31066746727980593
scene_0,user_7129,item_9873,0.31066746727980593
scene_0,user_7129,item_5085,0.25694917118487537
scene_0,user_5671,item_2100,0.3633810027301768
scene_0,user_5671,item_5085,0.3633810027301768
scene_0,user_1221,item_2100,0.3633810027301768
scene_0,user_1221,item_5085,0.3633810027301768
scene_0,user_7052,item_2100,0.3633810027301768
scene_0,user_7052,item_5085,0.3633810027301768
scene_0,user_450,item_2100,0.25694917118487537
scene_0,user_1932,item_1779,0.5100697232983947
scene_0,user_5764,item_1779,0.5100697232983947
scene_0,user_5398,item_6798,0.20121480219092233
scene_0,user_3056,item_693,0.6436363296498353
scene_0,user_3912,item_7944,0.3400464821989298
scene_0,user_3912,item_3885,0.13337720371237885
scene_0,user_3912,item_3933,0.13337720371237885
scene_0,user_3912,item_4200,0.13337720371237885
scene_0,user_3912,item_5049,0.13337720371237885
scene_0,user_3912,item_5094,0.13337720371237885
scene_0,user_3912,item_5331,0.13337720371237885
scene_0,user_3912,item_5451,0.13337720371237885
scene_0,user_3912,item_5979,0.13337720371237885
scene_0,user_3912,item_660,0.13337720371237885
scene_0,user_3912,item_6942,0.13337720371237885
scene_0,user_3912,item_7197,0.13337720371237885
scene_0,user_3912,item_7365,0.13337720371237885
scene_0,user_901,item_7944,0.3400464821989298
scene_0,user_901,item_3885,0.13337720371237885
scene_0,user_901,item_3933,0.13337720371237885
scene_0,user_901,item_4200,0.13337720371237885
scene_0,user_901,item_5049,0.13337720371237885
scene_0,user_901,item_5094,0.13337720371237885
scene_0,user_901,item_5331,0.13337720371237885
scene_0,user_901,item_5451,0.13337720371237885
scene_0,user_901,item_5979,0.13337720371237885
scene_0,user_901,item_660,0.13337720371237885
scene_0,user_901,item_6942,0.13337720371237885
scene_0,user_901,item_7197,0.13337720371237885
scene_0,user_901,item_7365,0.13337720371237885
scene_0,user_6990,item_7944,0.3400464821989298
scene_0,user_6990,item_3885,0.13337720371237885
scene_0,user_6990,item_3933,0.13337720371237885
scene_0,user_6990,item_4200,0.13337720371237885
scene_0,user_6990,item_5049,0.13337720371237885
scene_0,user_6990,item_5094,0.13337720371237885
scene_0,user_6990,item_5331,0.13337720371237885
scene_0,user_6990,item_5451,0.13337720371237885
scene_0,user_6990,item_5979,0.13337720371237885
scene_0,user_6990,item_660,0.13337720371237885
scene_0,user_6990,item_6942,0.13337720371237885
scene_0,user_6990,item_7197,0.13337720371237885
scene_0,user_6990,item_7365,0.13337720371237885
scene_0,user_5538,item_7944,0.3400464821989298
scene_0,user_5538,item_3885,0.13337720371237885
scene_0,user_5538,item_3933,0.13337720371237885
scene_0,user_5538,item_4200,0.13337720371237885
scene_0,user_5538,item_5049,0.13337720371237885
scene_0,user_5538,item_5094,0.13337720371237885
scene_0,user_5538,item_5331,0.13337720371237885
scene_0,user_5538,item_5451,0.13337720371237885
scene_0,user_5538,item_5979,0.13337720371237885
scene_0,user_5538,item_660,0.13337720371237885
scene_0,user_5538,item_6942,0.13337720371237885
scene_0,user_5538,item_7197,0.13337720371237885
scene_0,user_5538,item_7365,0.13337720371237885
scene_0,user_2447,item_7944,0.3400464821989298
scene_0,user_2447,item_3885,0.13337720371237885
scene_0,user_2447,item_3933,0.13337720371237885
scene_0,user_2447,item_4200,0.13337720371237885
scene_0,user_2447,item_5049,0.13337720371237885
scene_0,user_2447,item_5094,0.13337720371237885
scene_0,user_2447,item_5331,0.13337720371237885
scene_0,user_2447,item_5451,0.13337720371237885
scene_0,user_2447,item_5979,0.13337720371237885
