scene,left_item,right_item,score
scene_0,item_7197,item_5451,0.2360380423273507
scene_0,item_7197,item_3933,0.17842798855677358
scene_0,item_7197,item_4200,0.17842798855677358
scene_0,item_7197,item_7365,0.1573586948849005
scene_0,item_7197,item_1128,0.1492835656403319
scene_0,item_7197,item_5094,0.13627662727668824
scene_0,item_7197,item_5331,0.11801902116367535
scene_0,item_7197,item_660,0.11449526825643284
scene_0,item_7197,item_6942,0.09636212726457788
scene_0,item_7197,item_5979,0.08921399427838679
scene_0,item_7197,item_5049,0.08345205017383352
scene_0,item_7197,item_3885,0.08345205017383352
scene_0,item_660,item_5451,0.16192076119579304
scene_0,item_660,item_3021,0.15610473950771406
scene_0,item_660,item_483,0.15610473950771406
scene_0,item_660,item_3933,0.12240059034924171
scene_0,item_660,item_4200,0.12240059034924171
scene_0,item_660,item_7197,0.11449526825643284
scene_0,item_660,item_7365,0.1079471741305287
scene_0,item_660,item_1128,0.10240768116938306
scene_0,item_660,item_5094,0.09348499506378022
scene_0,item_660,item_5331,0.08096038059789652
scene_0,item_660,item_6942,0.06610387394878993
scene_0,item_660,item_5979,0.061200295174620854
scene_0,item_660,item_5049,0.05724763412821642
scene_0,item_660,item_3885,0.05724763412821642
scene_0,item_1128,item_7944,0.32259641822295604
scene_0,item_1128,item_5451,0.21111884316797155
scene_0,item_1128,item_3933,0.15959084460060013
scene_0,item_1128,item_4200,0.15959084460060013
scene_0,item_1128,item_7197,0.1492835656403319
scene_0,item_1128,item_7365,0.14074589544531438
scene_0,item_1128,item_5094,0.12188952093403076
scene_0,item_1128,item_5331,0.10555942158398578
scene_0,item_1128,item_660,0.10240768116938306
scene_0,item_1128,item_6942,0.08618890680803279
scene_0,item_1128,item_5979,0.07979542230030007
scene_0,item_1128,item_5049,0.07464178282016595
scene_0,item_1128,item_3885,0.07464178282016595
scene_0,item_3933,item_5451,0.25233528132394056
scene_0,item_3933,item_4200,0.1907475432544766
scene_0,item_3933,item_7197,0.17842798855677358
scene_0,item_3933,item_7365,0.16822352088262707
scene_0,item_3933,item_1128,0.15959084460060013
scene_0,item_3933,item_5094,0.14568584259841705
scene_0,item_3933,item_5331,0.12616764066197028
scene_0,item_3933,item_660,0.12240059034924171
scene_0,item_3933,item_6942,0.10301544722421668
