scene,left_item,right_item,score
scene_0,item_0,item_4134,0.4052216325204448
scene_0,item_0,item_3936,0.4031262976007996
scene_0,item_0,item_9903,0.40286687752977973
scene_0,item_0,item_9129,0.40154321433840073
scene_0,item_0,item_7968,0.4007219874009001
scene_0,item_0,item_4833,0.3978638466374077
scene_0,item_0,item_1989,0.28845670514650207
scene_0,item_0,item_3996,0.28829857909165835
scene_0,item_0,item_1842,0.2882707026393015
scene_0,item_0,item_7887,0.28809861232398554
scene_0,item_0,item_6651,0.2876968599054408
scene_0,item_0,item_519,0.28739122055672056
scene_0,item_0,item_360,0.28728970346069665
scene_0,item_0,item_771,0.28713986650375184
scene_0,item_0,item_1245,0.28698005730675813
scene_0,item_0,item_2265,0.2869278865665086
scene_0,item_0,item_6000,0.28672400980229645
scene_0,item_0,item_9369,0.28670644164732545
scene_0,item_0,item_2808,0.2866762935408451
scene_0,item_0,item_3135,0.2866392812911554
scene_0,item_111,item_2001,0.4000962948154387
scene_0,item_111,item_2202,0.39946447394583035
scene_0,item_111,item_1716,0.3986686262982485
scene_0,item_111,item_432,0.3963678207855449
scene_0,item_111,item_4074,0.3944220971759289
scene_0,item_111,item_300,0.2874026925040229
scene_0,item_111,item_2457,0.28732568296954436
scene_0,item_111,item_1527,0.2872903739265805
scene_0,item_111,item_9513,0.287133902359496
scene_0,item_111,item_6051,0.2869654606870199
scene_0,item_111,item_8586,0.2868137027369429
scene_0,item_111,item_5877,0.2866458583339189
scene_0,item_111,item_8085,0.2864097959129319
scene_0,item_111,item_153,0.28626679896873686
scene_0,item_111,item_5040,0.2862087797362103
scene_0,item_111,item_4767,0.2860746112217067
scene_0,item_111,item_5688,0.2860677331668445
scene_0,item_111,item_1950,0.286061411853192
scene_0,item_111,item_2511,0.2860530916282013
scene_0,item_111,item_3525,0.2860502466865531
scene_0,item_228,item_4032,0.4071987086118962
scene_0,item_228,item_4182,0.4009589776748764
scene_0,item_228,item_6162,0.4007299524904284
scene_0,item_228,item_5058,0.3995604737858814
scene_0,item_228,item_8583,0.29298613022527237
scene_0,item_228,item_5640,0.2924329608332771
scene_0,item_228,item_1641,0.2922554398493387
scene_0,item_228,item_4743,0.29137354075206906
scene_0,item_228,item_7584,0.2913243138514684
scene_0,item_228,item_3867,0.29131973412287915
scene_0,item_228,item_6798,0.2912654159984763
scene_0,item_228,item_1047,0.29119814978171477
scene_0,item_228,item_2769,0.29115781228237075
scene_0,item_228,item_3030,0.2911573343284116
scene_0,item_228,item_6480,0.29079847304026857
scene_0,item_228,item_7857,0.290275781153124
scene_0,item_228,item_1728,0.2901814212613393
scene_0,item_228,item_4728,0.2900363703090139
scene_0,item_228,item_8481,0.2897749651106985
